model_name,animal_type,target,measure,Cross-validation,evaluated_on (Train/Test),Score,n_rows,n_defects,best_params
Dummy Classifier,cow,has defects,Accuracy,1,Train,0.5555555555555556,46,26,{}
Dummy Classifier,cow,has defects,Accuracy,2,Train,0.5675675675675675,46,26,{}
Dummy Classifier,cow,has defects,Accuracy,3,Train,0.5675675675675675,46,26,{}
Dummy Classifier,cow,has defects,Accuracy,4,Train,0.5675675675675675,46,26,{}
Dummy Classifier,cow,has defects,Accuracy,5,Train,0.5675675675675675,46,26,{}
Dummy Classifier,cow,has defects,Accuracy,1,Test,0.6,46,26,{}
Dummy Classifier,cow,has defects,Accuracy,2,Test,0.5555555555555556,46,26,{}
Dummy Classifier,cow,has defects,Accuracy,3,Test,0.5555555555555556,46,26,{}
Dummy Classifier,cow,has defects,Accuracy,4,Test,0.5555555555555556,46,26,{}
Dummy Classifier,cow,has defects,Accuracy,5,Test,0.5555555555555556,46,26,{}
Dummy Classifier,cow,has defects,Balanced Accuracy,1,Train,0.5,46,26,{}
Dummy Classifier,cow,has defects,Balanced Accuracy,2,Train,0.5,46,26,{}
Dummy Classifier,cow,has defects,Balanced Accuracy,3,Train,0.5,46,26,{}
Dummy Classifier,cow,has defects,Balanced Accuracy,4,Train,0.5,46,26,{}
Dummy Classifier,cow,has defects,Balanced Accuracy,5,Train,0.5,46,26,{}
Dummy Classifier,cow,has defects,Balanced Accuracy,1,Test,0.5,46,26,{}
Dummy Classifier,cow,has defects,Balanced Accuracy,2,Test,0.5,46,26,{}
Dummy Classifier,cow,has defects,Balanced Accuracy,3,Test,0.5,46,26,{}
Dummy Classifier,cow,has defects,Balanced Accuracy,4,Test,0.5,46,26,{}
Dummy Classifier,cow,has defects,Balanced Accuracy,5,Test,0.5,46,26,{}
Dummy Classifier,cow,has defects,F1,1,Train,0.7142857142857143,46,26,{}
Dummy Classifier,cow,has defects,F1,2,Train,0.7241379310344828,46,26,{}
Dummy Classifier,cow,has defects,F1,3,Train,0.7241379310344828,46,26,{}
Dummy Classifier,cow,has defects,F1,4,Train,0.7241379310344828,46,26,{}
Dummy Classifier,cow,has defects,F1,5,Train,0.7241379310344828,46,26,{}
Dummy Classifier,cow,has defects,F1,1,Test,0.75,46,26,{}
Dummy Classifier,cow,has defects,F1,2,Test,0.7142857142857143,46,26,{}
Dummy Classifier,cow,has defects,F1,3,Test,0.7142857142857143,46,26,{}
Dummy Classifier,cow,has defects,F1,4,Test,0.7142857142857143,46,26,{}
Dummy Classifier,cow,has defects,F1,5,Test,0.7142857142857143,46,26,{}
Dummy Classifier,cow,has defects,ROC AUC,1,Train,0.5,46,26,{}
Dummy Classifier,cow,has defects,ROC AUC,2,Train,0.5,46,26,{}
Dummy Classifier,cow,has defects,ROC AUC,3,Train,0.5,46,26,{}
Dummy Classifier,cow,has defects,ROC AUC,4,Train,0.5,46,26,{}
Dummy Classifier,cow,has defects,ROC AUC,5,Train,0.5,46,26,{}
Dummy Classifier,cow,has defects,ROC AUC,1,Test,0.5,46,26,{}
Dummy Classifier,cow,has defects,ROC AUC,2,Test,0.5,46,26,{}
Dummy Classifier,cow,has defects,ROC AUC,3,Test,0.5,46,26,{}
Dummy Classifier,cow,has defects,ROC AUC,4,Test,0.5,46,26,{}
Dummy Classifier,cow,has defects,ROC AUC,5,Test,0.5,46,26,{}
Dummy Classifier,steer,has defects,Accuracy,1,Train,0.6850393700787402,636,200,{}
Dummy Classifier,steer,has defects,Accuracy,2,Train,0.6856581532416502,636,200,{}
Dummy Classifier,steer,has defects,Accuracy,3,Train,0.6856581532416502,636,200,{}
Dummy Classifier,steer,has defects,Accuracy,4,Train,0.6856581532416502,636,200,{}
Dummy Classifier,steer,has defects,Accuracy,5,Train,0.6856581532416502,636,200,{}
Dummy Classifier,steer,has defects,Accuracy,1,Test,0.6875,636,200,{}
Dummy Classifier,steer,has defects,Accuracy,2,Test,0.6850393700787402,636,200,{}
Dummy Classifier,steer,has defects,Accuracy,3,Test,0.6850393700787402,636,200,{}
Dummy Classifier,steer,has defects,Accuracy,4,Test,0.6850393700787402,636,200,{}
Dummy Classifier,steer,has defects,Accuracy,5,Test,0.6850393700787402,636,200,{}
Dummy Classifier,steer,has defects,Balanced Accuracy,1,Train,0.5,636,200,{}
Dummy Classifier,steer,has defects,Balanced Accuracy,2,Train,0.5,636,200,{}
Dummy Classifier,steer,has defects,Balanced Accuracy,3,Train,0.5,636,200,{}
Dummy Classifier,steer,has defects,Balanced Accuracy,4,Train,0.5,636,200,{}
Dummy Classifier,steer,has defects,Balanced Accuracy,5,Train,0.5,636,200,{}
Dummy Classifier,steer,has defects,Balanced Accuracy,1,Test,0.5,636,200,{}
Dummy Classifier,steer,has defects,Balanced Accuracy,2,Test,0.5,636,200,{}
Dummy Classifier,steer,has defects,Balanced Accuracy,3,Test,0.5,636,200,{}
Dummy Classifier,steer,has defects,Balanced Accuracy,4,Test,0.5,636,200,{}
Dummy Classifier,steer,has defects,Balanced Accuracy,5,Test,0.5,636,200,{}
Dummy Classifier,steer,has defects,F1,1,Train,0.0,636,200,{}
Dummy Classifier,steer,has defects,F1,2,Train,0.0,636,200,{}
Dummy Classifier,steer,has defects,F1,3,Train,0.0,636,200,{}
Dummy Classifier,steer,has defects,F1,4,Train,0.0,636,200,{}
Dummy Classifier,steer,has defects,F1,5,Train,0.0,636,200,{}
Dummy Classifier,steer,has defects,F1,1,Test,0.0,636,200,{}
Dummy Classifier,steer,has defects,F1,2,Test,0.0,636,200,{}
Dummy Classifier,steer,has defects,F1,3,Test,0.0,636,200,{}
Dummy Classifier,steer,has defects,F1,4,Test,0.0,636,200,{}
Dummy Classifier,steer,has defects,F1,5,Test,0.0,636,200,{}
Dummy Classifier,steer,has defects,ROC AUC,1,Train,0.5,636,200,{}
Dummy Classifier,steer,has defects,ROC AUC,2,Train,0.5,636,200,{}
Dummy Classifier,steer,has defects,ROC AUC,3,Train,0.5,636,200,{}
Dummy Classifier,steer,has defects,ROC AUC,4,Train,0.5,636,200,{}
Dummy Classifier,steer,has defects,ROC AUC,5,Train,0.5,636,200,{}
Dummy Classifier,steer,has defects,ROC AUC,1,Test,0.5,636,200,{}
Dummy Classifier,steer,has defects,ROC AUC,2,Test,0.5,636,200,{}
Dummy Classifier,steer,has defects,ROC AUC,3,Test,0.5,636,200,{}
Dummy Classifier,steer,has defects,ROC AUC,4,Test,0.5,636,200,{}
Dummy Classifier,steer,has defects,ROC AUC,5,Test,0.5,636,200,{}
Dummy Classifier,heifer,has defects,Accuracy,1,Train,0.5967741935483871,233,94,{}
Dummy Classifier,heifer,has defects,Accuracy,2,Train,0.5967741935483871,233,94,{}
Dummy Classifier,heifer,has defects,Accuracy,3,Train,0.5967741935483871,233,94,{}
Dummy Classifier,heifer,has defects,Accuracy,4,Train,0.5935828877005348,233,94,{}
Dummy Classifier,heifer,has defects,Accuracy,5,Train,0.5989304812834224,233,94,{}
Dummy Classifier,heifer,has defects,Accuracy,1,Test,0.5957446808510638,233,94,{}
Dummy Classifier,heifer,has defects,Accuracy,2,Test,0.5957446808510638,233,94,{}
Dummy Classifier,heifer,has defects,Accuracy,3,Test,0.5957446808510638,233,94,{}
Dummy Classifier,heifer,has defects,Accuracy,4,Test,0.6086956521739131,233,94,{}
Dummy Classifier,heifer,has defects,Accuracy,5,Test,0.5869565217391305,233,94,{}
Dummy Classifier,heifer,has defects,Balanced Accuracy,1,Train,0.5,233,94,{}
Dummy Classifier,heifer,has defects,Balanced Accuracy,2,Train,0.5,233,94,{}
Dummy Classifier,heifer,has defects,Balanced Accuracy,3,Train,0.5,233,94,{}
Dummy Classifier,heifer,has defects,Balanced Accuracy,4,Train,0.5,233,94,{}
Dummy Classifier,heifer,has defects,Balanced Accuracy,5,Train,0.5,233,94,{}
Dummy Classifier,heifer,has defects,Balanced Accuracy,1,Test,0.5,233,94,{}
Dummy Classifier,heifer,has defects,Balanced Accuracy,2,Test,0.5,233,94,{}
Dummy Classifier,heifer,has defects,Balanced Accuracy,3,Test,0.5,233,94,{}
Dummy Classifier,heifer,has defects,Balanced Accuracy,4,Test,0.5,233,94,{}
Dummy Classifier,heifer,has defects,Balanced Accuracy,5,Test,0.5,233,94,{}
Dummy Classifier,heifer,has defects,F1,1,Train,0.0,233,94,{}
Dummy Classifier,heifer,has defects,F1,2,Train,0.0,233,94,{}
Dummy Classifier,heifer,has defects,F1,3,Train,0.0,233,94,{}
Dummy Classifier,heifer,has defects,F1,4,Train,0.0,233,94,{}
Dummy Classifier,heifer,has defects,F1,5,Train,0.0,233,94,{}
Dummy Classifier,heifer,has defects,F1,1,Test,0.0,233,94,{}
Dummy Classifier,heifer,has defects,F1,2,Test,0.0,233,94,{}
Dummy Classifier,heifer,has defects,F1,3,Test,0.0,233,94,{}
Dummy Classifier,heifer,has defects,F1,4,Test,0.0,233,94,{}
Dummy Classifier,heifer,has defects,F1,5,Test,0.0,233,94,{}
Dummy Classifier,heifer,has defects,ROC AUC,1,Train,0.5,233,94,{}
Dummy Classifier,heifer,has defects,ROC AUC,2,Train,0.5,233,94,{}
Dummy Classifier,heifer,has defects,ROC AUC,3,Train,0.5,233,94,{}
Dummy Classifier,heifer,has defects,ROC AUC,4,Train,0.5,233,94,{}
Dummy Classifier,heifer,has defects,ROC AUC,5,Train,0.5,233,94,{}
Dummy Classifier,heifer,has defects,ROC AUC,1,Test,0.5,233,94,{}
Dummy Classifier,heifer,has defects,ROC AUC,2,Test,0.5,233,94,{}
Dummy Classifier,heifer,has defects,ROC AUC,3,Test,0.5,233,94,{}
Dummy Classifier,heifer,has defects,ROC AUC,4,Test,0.5,233,94,{}
Dummy Classifier,heifer,has defects,ROC AUC,5,Test,0.5,233,94,{}
Logistic Regression,cow,has defects,Accuracy,1,Train,0.6388888888888888,46,26,"{'imputer_strategy': 'mean', 'C': 0.13894498012254627, 'l1_ratio': 0.5816737008859542}"
Logistic Regression,cow,has defects,Accuracy,2,Train,0.7027027027027027,46,26,"{'imputer_strategy': 'mean', 'C': 0.13894498012254627, 'l1_ratio': 0.5816737008859542}"
Logistic Regression,cow,has defects,Accuracy,3,Train,0.6756756756756757,46,26,"{'imputer_strategy': 'mean', 'C': 0.13894498012254627, 'l1_ratio': 0.5816737008859542}"
Logistic Regression,cow,has defects,Accuracy,4,Train,0.6756756756756757,46,26,"{'imputer_strategy': 'mean', 'C': 0.13894498012254627, 'l1_ratio': 0.5816737008859542}"
Logistic Regression,cow,has defects,Accuracy,5,Train,0.6756756756756757,46,26,"{'imputer_strategy': 'mean', 'C': 0.13894498012254627, 'l1_ratio': 0.5816737008859542}"
Logistic Regression,cow,has defects,Accuracy,1,Test,0.8,46,26,"{'imputer_strategy': 'mean', 'C': 0.13894498012254627, 'l1_ratio': 0.5816737008859542}"
